"No","V_abs","V_angle","P_gen","Q_gen","P_load","Q_load","G_shunt","B_shunt","type"
1,1.045,0,2.5,0,0,0,0,0,2
2,0.98,0,5.45,0,0,0,0,0,2
3,0.983,0,6.5,0,0,0,0,0,2
4,0.997,0,6.32,0,0,0,0,0,2
5,1.011,0,5.05,0,0,0,0,0,2
6,1.05,0,7,0,0,0,0,0,2
7,1.063,0,5.6,0,0,0,0,0,2
8,1.03,0,5.4,0,0,0,0,0,2
9,1.025,0,8,0,0,0,0,0,2
10,1.01,0,5,0,0,0,0,0,2
11,1,0,10,0,0,0,0,0,2
12,1.0156,0,13.5,0,0,0,0,0,2
13,1.011,0,35.91,0,0,0,0,0,2
14,1,0,17.85,0,0,0,0,0,2
15,1,0,10,0,0,0,0,0,2
16,1,0,40,0,0,0,0,0,1
17,1,0,0,0,60,3,0,0,3
18,1,0,0,0,24.7,1.23,0,0,3
19,1,0,0,0,0,0,0,0,3
20,1,0,0,0,6.8,1.03,0,0,3
21,1,0,0,0,2.74,1.15,0,0,3
22,1,0,0,0,0,0,0,0,3
23,1,0,0,0,2.48,0.85,0,0,3
24,1,0,0,0,3.09,-0.92,0,0,3
25,1,0,0,0,2.24,0.47,0,0,3
26,1,0,0,0,1.39,0.17,0,0,3
27,1,0,0,0,2.81,0.76,0,0,3
28,1,0,0,0,2.06,0.28,0,0,3
29,1,0,0,0,2.84,0.27,0,0,3
30,1,0,0,0,0,0,0,0,3
31,1,0,0,0,0,0,0,0,3
32,1,0,0,0,0,0,0,0,3
33,1,0,0,0,1.12,0,0,0,3
34,1,0,0,0,0,0,0,0,3
35,1,0,0,0,0,0,0,0,3
36,1,0,0,0,1.02,-0.1946,0,0,3
37,1,0,0,0,0,0,0,0,3
38,1,0,0,0,0,0,0,0,3
39,1,0,0,0,2.67,0.126,0,0,3
40,1,0,0,0,0.6563,0.2353,0,0,3
41,1,0,0,0,10,2.5,0,0,3
42,1,0,0,0,11.5,2.5,0,0,3
43,1,0,0,0,0,0,0,0,3
44,1,0,0,0,2.6755,0.0484,0,0,3
45,1,0,0,0,2.08,0.21,0,0,3
46,1,0,0,0,1.507,0.285,0,0,3
47,1,0,0,0,2.0312,0.3259,0,0,3
48,1,0,0,0,2.412,0.022,0,0,3
49,1,0,0,0,1.64,0.29,0,0,3
50,1,0,0,0,1,-1.47,0,0,3
51,1,0,0,0,3.37,-1.22,0,0,3
52,1,0,0,0,1.58,0.3,0,0,3
53,1,0,0,0,2.527,1.1856,0,0,3
54,1,0,0,0,0,0,0,0,3
55,1,0,0,0,3.22,0.02,0,0,3
56,1,0,0,0,2,0.736,0,0,3
57,1,0,0,0,0,0,0,0,3
58,1,0,0,0,0,0,0,0,3
59,1,0,0,0,2.34,0.84,0,0,3
60,1,0,0,0,2.088,0.708,0,0,3
61,1,0,0,0,1.04,1.25,0,0,3
62,1,0,0,0,0,0,0,0,3
63,1,0,0,0,0,0,0,0,3
64,1,0,0,0,0.09,0.88,0,0,3
65,1,0,0,0,0,0,0,0,3
66,1,0,0,0,0,0,0,0,3
67,1,0,0,0,3.2,1.53,0,0,3
68,1,0,0,0,3.29,0.32,0,0,3
